,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
11,2023-03-02,2023-03-02 22:55:38.782000+05:30,24575,od_1677385001532937,-70.0," Bought 5.00 shares x Y (Rs. 14.00 each) , Limit Order",Bought,5.0,Y,14.0,70.0,-70.0,19.0,86.0,5.0,430.0
10,2023-03-02,2023-03-02 22:55:57.619000+05:30,24575,od_1677385001532950,-380.0," Bought 5.00 shares x N (Rs. 76.00 each) , Limit Order",Bought,5.0,N,76.0,380.0,-450.0,81.0,24.0,5.0,120.0
9,2023-03-02,2023-03-02 22:59:22.616000+05:30,24575,od_1677385001532937,70.0," Cancelled 5.00 shares x Y (Rs. 14.00 each) , ",Cancelled,5.0,Y,14.0,70.0,-380.0,19.0,86.0,-5.0,-430.0
8,2023-03-02,2023-03-02 22:59:23.781000+05:30,24575,od_1677385001533086,-130.0," Bought 5.00 shares x Y (Rs. 26.00 each) , Limit Order",Bought,5.0,Y,26.0,130.0,-510.0,31.0,74.0,5.0,370.0
7,2023-03-02,2023-03-02 22:59:39.332000+05:30,24575,od_1677385001533090,-320.0," Bought 5.00 shares x N (Rs. 64.00 each) , Limit Order",Bought,5.0,N,64.0,320.0,-830.0,69.0,36.0,5.0,180.0
6,2023-03-02,2023-03-02 23:01:09.964000+05:30,24575,od_1677385001533086,130.0," Cancelled 5.00 shares x Y (Rs. 26.00 each) , ",Cancelled,5.0,Y,26.0,130.0,-700.0,31.0,74.0,-5.0,-370.0
5,2023-03-02,2023-03-02 23:01:11.267000+05:30,24575,od_1677385001533154,-195.0," Bought 5.00 shares x Y (Rs. 39.00 each) , Limit Order",Bought,5.0,Y,39.0,195.0,-895.0,44.0,61.0,5.0,305.0
4,2023-03-02,2023-03-02 23:01:26.352000+05:30,24575,od_1677385001533159,-255.0," Bought 5.00 shares x N (Rs. 51.00 each) , Limit Order",Bought,5.0,N,51.0,255.0,-1150.0,56.0,49.0,5.0,245.0
3,2023-03-02,2023-03-02 23:03:00.395000+05:30,24575,od_1677385001533154,195.0," Cancelled 5.00 shares x Y (Rs. 39.00 each) , ",Cancelled,5.0,Y,39.0,195.0,-955.0,44.0,61.0,-5.0,-305.0
2,2023-03-02,2023-03-02 23:03:01.883000+05:30,24575,od_1677385001533189,-225.0," Bought 5.00 shares x Y (Rs. 45.00 each) , Limit Order",Bought,5.0,Y,45.0,225.0,-1180.0,50.0,55.0,5.0,275.0
1,2023-03-02,2023-03-02 23:03:18.175000+05:30,24575,od_1677385001533194,-225.0," Bought 5.00 shares x N (Rs. 45.00 each) , Limit Order",Bought,5.0,N,45.0,225.0,-1405.0,50.0,55.0,5.0,275.0
0,2023-03-02,2023-03-02 23:08:10.471000+05:30,24575,,225.0,Settled (Rs. 225.00 credited),Settled,,,,,-1180.0,,,,
